SN,Paper Title,Domain,Year,cited_by_count,in_degree_corpus,out_degree_corpus
184,Indian-BhED: A Dataset for Measuring India-Centric Biases in Large Language Models,LLMs & NLP,2024,11,1,0
635,Tackling Language Modelling Bias in Support of Linguistic Diversity,LLMs & NLP,2024,13,1,0
640,Auditing GPT's Content Moderation Guardrails: Can ChatGPT Write Your Favorite TV Show?,LLMs & NLP,2024,16,1,3
375,A scoping review of fair machine learning techniques when using real-world data,General Fairness & Bias Mitigation,2024,40,1,6
11,Semantic Web technologies and bias in artificial intelligence: A systematic literature review,Graph-Based Fairness & Bias Mitigation,2023,24,1,6
377,ACROCPoLis: A Descriptive Framework for Making Sense of Fairness,General Fairness & Bias Mitigation,2023,8,1,6
549,Towards Fair Deep Anomaly Detection,General Fairness & Bias Mitigation,2021,28,1,1
656,Equalised Odds is not Equal Individual Odds: Post-processing for Group and Individual Fairness,General Fairness & Bias Mitigation,2024,7,1,3
87,Creating Trustworthy LLMs: Dealing with Hallucinations in Healthcare AI,LLMs & NLP,2023,17,1,0
436,"Humans, AI, and Context: Understanding End-Users’ Trust in a Real-World Computer Vision Application",General Fairness & Bias Mitigation,2023,35,1,1
468,Misgendered During Moderation: How Transgender Bodies Make Visible Cisnormative Content Moderation Policies and Enforcement in a Meta Oversight Board Case,General Fairness & Bias Mitigation,2024,15,1,1
88,Risk Taxonomy Mitigation and Assessment Benchmarks of Large Language Model Systems,LLMs & NLP,2023,13,1,0
432,Certification Labels for Trustworthy AI: Insights From an Empirical Mixed-Method Study,General Fairness & Bias Mitigation,2023,40,1,1
104,Fairness and Bias in E-commerce Recommendation Systems: A Literature Review,Recommender Systems,2024,1,1,5
202,Multidisciplinary considerations of fairness in medical AI: A scoping review,Health & Clinical AI,2023,22,1,6
